time	I(R_load)
Step Information: Rload=500m  (Step: 1/2)
1.802484243853996e-06	1.285262e-06
1.812484243853995e-06	1.294008e-06
1.822484243853995e-06	1.302647e-06
1.832484243853995e-06	1.311176e-06
1.842484243853995e-06	1.319595e-06
1.852484243853995e-06	1.327901e-06
1.862484243853995e-06	1.336092e-06
1.872484243853995e-06	1.344167e-06
1.882484243853995e-06	1.352122e-06
1.892484243853995e-06	1.359958e-06
1.902484243853995e-06	1.367670e-06
1.912484243853995e-06	1.375259e-06
1.922484243853995e-06	1.382721e-06
1.932484243853995e-06	1.390055e-06
1.942484243853994e-06	1.397259e-06
1.952484243853994e-06	1.404332e-06
1.962484243853994e-06	1.411272e-06
1.972484243853994e-06	1.418076e-06
1.982484243853994e-06	1.424744e-06
1.992484243853994e-06	1.431273e-06
2.002484243853994e-06	1.437663e-06
2.012484243853994e-06	1.443910e-06
2.022484243853994e-06	1.450015e-06
2.032484243853994e-06	1.455974e-06
2.042484243853993e-06	1.461787e-06
2.052484243853993e-06	1.467452e-06
2.062484243853993e-06	1.472968e-06
2.072484243853993e-06	1.478332e-06
2.082484243853993e-06	1.483545e-06
2.092484243853993e-06	1.488603e-06
2.102484243853993e-06	1.493506e-06
2.112484243853993e-06	1.498253e-06
2.122484243853993e-06	1.502841e-06
2.132484243853993e-06	1.507271e-06
2.142484243853993e-06	1.511539e-06
2.152484243853992e-06	1.515646e-06
2.162484243853992e-06	1.519590e-06
2.172484243853992e-06	1.523369e-06
2.182484243853992e-06	1.526983e-06
2.192484243853992e-06	1.530430e-06
2.202484243853992e-06	1.533710e-06
2.212484243853992e-06	1.536820e-06
2.222484243853992e-06	1.539761e-06
2.232484243853992e-06	1.542530e-06
2.242484243853992e-06	1.545128e-06
2.252484243853991e-06	1.547552e-06
2.262484243853991e-06	1.549803e-06
2.272484243853991e-06	1.551878e-06
2.282484243853991e-06	1.553778e-06
2.292484243853991e-06	1.555500e-06
2.302484243853991e-06	1.557046e-06
2.312484243853991e-06	1.558413e-06
2.322484243853991e-06	1.559600e-06
2.332484243853991e-06	1.560608e-06
2.342484243853991e-06	1.561435e-06
2.352484243853991e-06	1.562081e-06
2.362484243853990e-06	1.562545e-06
2.372484243853990e-06	1.562826e-06
2.382484243853990e-06	1.562924e-06
2.392484243853990e-06	1.562838e-06
2.402484243853990e-06	1.562567e-06
2.412484243853990e-06	1.562112e-06
2.422484243853990e-06	1.561471e-06
2.432484243853990e-06	1.560644e-06
2.442484243853990e-06	1.559632e-06
2.452484243853990e-06	1.558432e-06
2.462484243853989e-06	1.557045e-06
2.472484243853989e-06	1.555471e-06
2.482484243853989e-06	1.553709e-06
2.492484243853989e-06	1.551759e-06
2.502484243853989e-06	1.549621e-06
2.512484243853989e-06	1.547294e-06
2.522484243853989e-06	1.544779e-06
2.532484243853989e-06	1.542075e-06
2.542484243853989e-06	1.539181e-06
2.552484243853989e-06	1.536099e-06
2.562484243853989e-06	1.532828e-06
2.572484243853988e-06	1.529368e-06
2.582484243853988e-06	1.525718e-06
2.592484243853988e-06	1.521879e-06
2.602484243853988e-06	1.517851e-06
2.612484243853988e-06	1.513635e-06
2.622484243853988e-06	1.509229e-06
2.632484243853988e-06	1.504634e-06
2.642484243853988e-06	1.499851e-06
2.652484243853988e-06	1.494880e-06
2.662484243853988e-06	1.489720e-06
2.672484243853987e-06	1.484373e-06
2.682484243853987e-06	1.478838e-06
2.692484243853987e-06	1.473116e-06
2.702484243853987e-06	1.467206e-06
2.712484243853987e-06	1.461111e-06
2.722484243853987e-06	1.454829e-06
2.732484243853987e-06	1.448361e-06
2.742484243853987e-06	1.441708e-06
2.752484243853987e-06	1.434871e-06
2.762484243853987e-06	1.427849e-06
2.772484243853986e-06	1.420644e-06
2.782484243853986e-06	1.413255e-06
2.792484243853986e-06	1.405684e-06
2.802484243853986e-06	1.397931e-06
2.812484243853986e-06	1.389997e-06
2.822484243853986e-06	1.381883e-06
2.832484243853986e-06	1.373589e-06
2.842484243853986e-06	1.365116e-06
2.852484243853986e-06	1.356464e-06
2.862484243853986e-06	1.347636e-06
2.872484243853986e-06	1.338630e-06
2.882484243853985e-06	1.329449e-06
2.892484243853985e-06	1.320093e-06
2.902484243853985e-06	1.310563e-06
2.912484243853985e-06	1.300861e-06
2.922484243853985e-06	1.290986e-06
2.932484243853985e-06	1.280940e-06
2.942484243853985e-06	1.270724e-06
2.952484243853985e-06	1.260339e-06
2.962484243853985e-06	1.249787e-06
2.972484243853985e-06	1.239067e-06
2.982484243853984e-06	1.228182e-06
2.992484243853984e-06	1.217132e-06
3.002484243853984e-06	1.205919e-06
3.012484243853984e-06	1.194544e-06
3.022484243853984e-06	1.183008e-06
3.032484243853984e-06	1.171312e-06
3.042484243853984e-06	1.159458e-06
3.052484243853984e-06	1.147446e-06
3.062484243853984e-06	1.135279e-06
3.072484243853984e-06	1.122958e-06
3.082484243853984e-06	1.110483e-06
3.092484243853983e-06	1.097856e-06
3.102484243853983e-06	1.085080e-06
3.112484243853983e-06	1.072154e-06
3.122484243853983e-06	1.059081e-06
3.132484243853983e-06	1.045862e-06
3.142484243853983e-06	1.032498e-06
3.152484243853983e-06	1.018992e-06
3.162484243853983e-06	1.005344e-06
3.172484243853983e-06	9.915565e-07
3.182484243853983e-06	9.776305e-07
3.192484243853982e-06	9.635680e-07
3.202484243853982e-06	9.493705e-07
3.212484243853982e-06	9.350396e-07
3.222484243853982e-06	9.205770e-07
3.232484243853982e-06	9.059843e-07
3.242484243853982e-06	8.912634e-07
3.252484243853982e-06	8.764159e-07
3.262484243853982e-06	8.614434e-07
3.272484243853982e-06	8.463479e-07
3.282484243853982e-06	8.311311e-07
